chr,bp_mm10,megamuga,gigamuga
5,67394776,UNC9381393,UNC9381393
5,67414921,UNC9381689,UNC9381689
5,67415725,JAX00585036,JAX00585036
5,67440544,UNC9382069,UNC9382069
5,67493177,UNC9382942,UNC9382942
5,67501484,JAX00131168,JAX00131168
5,67502283,JAX00131169,JAX00131169
5,67521786,UNC9383569,UNC9383569
5,67571148,UNC9384611,UNC9384611
5,67600205,UNC9385045,UNC9385045
5,67610018,,sanger3189;sanger3189q
5,67638110,UNC9385634,UNC9385634
5,67689342,UNC9386258,UNC9386258
5,6771031,JAX00126732,JAX00126732
5,67715048,UNC9386597,UNC9386597
5,67739481,,JAX00131187;JAX00131187q
5,67750848,UNC9387193,UNC9387193
5,67754594,JAX00585101,JAX00585101
5,67787368,UNC9387761,UNC9387761
5,6778826,UNC8583796,UNC8583796
5,67824643,UNC9388318,UNC9388318
5,67850273,UNC9388699,UNC9388699
5,67898117,UNC9389352,UNC9389352
5,67935048,UNC9389573,UNC9389573
5,67968413,UNC9390069,UNC9390069
5,68003756,UNC9390655,UNC9390655
5,68041563,backupUNC050469905,backupUNC050469905
5,68091442,UNC9392083,UNC9392083
5,68112293,UNC9392428,UNC9392428
5,68123277,JAX00585152,JAX00585152
5,68158329,UNC9393027,UNC9393027
5,68192815,UNC9393361,UNC9393361
5,68229392,UNC9393649,UNC9393649
5,68266512,UNC9394234,UNC9394234
5,68292483,UNC9394617,UNC9394617
5,68354163,UNC9395243,UNC9395243
5,68361927,UNC9395428,UNC9395428
5,68447864,UNC9396460,UNC9396460
5,68487104,UNC9396672,UNC9396672
5,68571441,UNC050470895,UNC050470895
5,68579040,JAX00131249,JAX00131249
5,68606098,UNC9398312,UNC9398312
5,68634439,UNC9398805,UNC9398805
5,68670886,UNC9399334,UNC9399334
5,68707971,UNC9399856,UNC9399856
5,68747515,UNC9400387,UNC9400387
5,68781306,UNC9400980,UNC9400980
5,68814844,UNC9401483,UNC9401483
5,6881731,UNC8585275,UNC8585275
5,68855969,UNC9401983,UNC9401983
5,68904327,JAX00131274,JAX00131274
5,68927792,UNC9402735,UNC9402735
5,68964390,UNC9403119,UNC9403119
5,69002186,UNC9403744,UNC9403744
5,69039333,UNC9404380,UNC9404380
5,69082103,UNC9404705,UNC9404705
5,69092591,JAX00585241,JAX00585241
5,69101370,JAX00131289,JAX00131289
5,69250014,UNC9406761,UNC9406761
5,69255058,JAX00585256,JAX00585256
5,69317993,UNC9408100,UNC9408100
5,6935526,JAX00126745,JAX00126745
5,69445543,UNC9409506,UNC9409506
5,69546157,UNC9410407,UNC9410407
5,69662369,UNC9411550,UNC9411550
5,69799565,UNC9413015,UNC9413015
5,69890254,JAX00131347,JAX00131347
5,69931305,UNC9415111,UNC9415111
5,70011068,UNC9416360,UNC9416360
5,70147973,UNC9417744,UNC9417744
5,70220479,UNC9418858,UNC9418858
5,70361419,UNC9420561,UNC9420561
5,70418339,UNC9421363,UNC9421363;UNCHS014661
5,70537896,UNC9423046,UNC9423046
5,70674048,JAX00585409,JAX00585409
5,7069325,UNC8588320,UNC8588320
5,70709358,UNC9425147,UNC9425147
5,70745130,UNC9425578,UNC9425578
5,70854813,JAX00131421,JAX00131421
5,70891213,UNC9426686,UNC9426686
5,71011871,UNC9428022,UNC9428022
5,71147613,UNC9429426,UNC9429426
5,71226105,UNC9430115,UNC9430115
5,71286987,UNC9430721,UNC9430721
5,71422036,JAX00131461,JAX00131461
5,71450367,UNC9431841,UNC9431841
5,71685829,UNC9433726,UNC9433726
5,71742988,UNC9434279,UNC9434279
5,71781041,JAX00131489,JAX00131489
5,71869256,UNC9435523,UNC9435523
5,71909586,UNC9435824,UNC9435824
5,71936625,UNC9436238,UNC9436238
5,72001140,UNC9436949,UNC9436949
5,72038983,UNC9437694,UNC9437694
5,72054008,JAX00131510,JAX00131510
5,72056229,UNC9438003,UNC9438003
5,72109956,UNC9438468,UNC9438468
5,72145981,UNC9438809,UNC9438809
5,72186964,UNC9439546,UNC9439546
5,72224711,UNC9440121,UNC9440121
5,72246631,JAX00585563,JAX00585563
5,7229810,UNC8591013,UNC8591013
5,72319839,UNC9441450,UNC9441450
5,72320156,,JAX00585577;JAX00585577q
5,72355521,UNC9441965,UNC9441965
5,72387272,UNC9442525,UNC9442525
5,72425586,UNC9443152,UNC9443152
5,72465676,UNC9443685,UNC9443685
5,72505277,UNC9444299,UNC9444299
5,72541803,UNC9444800,UNC9444800
5,72590359,UNC9445257,UNC9445257
5,72620452,UNC9445698,UNC9445698
5,72650423,UNC9446214,UNC9446214
5,72699364,UNC9447241,UNC9447241
5,72699424,JAX00131559,JAX00131559
5,72738749,UNC9448042,UNC9448042
5,7277112,UNC050317754,UNC050317754
5,72782504,UNC9448941,UNC9448941
5,72820477,UNC9449675,UNC9449675
5,72862300,UNC9450245,UNC9450245
5,72862709,JAX00585647,JAX00585647
5,72900164,UNC9450845,UNC9450845
5,72984403,UNC9451746,UNC9451746
5,73024845,,sanger1672;sanger1672q
5,73115587,UNC9453543,UNC9453543
5,73206182,UNC9454895,UNC9454895
5,73257318,UNC9455732,UNC9455732
5,7329700,JAX00126776,JAX00126776
5,73302714,UNC9456226,UNC9456226
5,73329023,JAX00585739,JAX00585739
5,73332819,JAX00585743,JAX00585743
5,73338736,UNC9456666,UNC9456666
5,73362735,UNC9456966,UNC9456966
5,73410237,UNC9457698,UNC9457698
5,73458879,UNC9458514,UNC9458514
5,73498427,UNC9459059,UNC9459059
5,73553705,UNC9459624,JAX00585804;UNC9459624
5,73582827,UNC9460018,UNC9460018
5,73618069,UNC9460489,UNC9460489
5,73658455,UNC9461053,UNC9461053
5,73697940,UNC9461579,UNC9461579
5,73720043,JAX00131634,JAX00131634
5,73741692,UNC9462271,UNC9462271
5,73812790,UNC9463259,UNC9463259
5,73854616,UNC9463731,UNC9463731
5,73870820,JAX00585877,JAX00585877;JAX00585877r
5,73885829,JAX00131648,JAX00131648
5,73904143,UNC9464369,UNC9464369
5,73940324,UNC9464998,UNC9464998
5,7396401,UNC8593180,UNC8593180
5,73975051,UNC9465470,UNC9465470
5,74020216,UNC9466018,UNC9466018
5,74042925,UNC9466374,UNC9466374
5,74060185,JAX00131661,JAX00131661
5,74097256,UNC9466896,UNC9466896
5,74186430,UNC9467997,UNC9467997
5,74207159,UNC9468264,UNC9468264
5,74247886,UNC9468870,UNC9468870
5,74281855,UNC9469376,UNC9469376
5,74326353,JAX00585982,JAX00585982
5,74328348,UNC9470088,UNC9470088
5,74351054,UNC9470314,UNC9470314
5,74382135,JAX00131683,JAX00131683
5,74394554,UNC9470822,UNC9470822
5,74419506,JAX00131687,JAX00131687;JAX00131687r
5,74447060,UNC9471501,UNC9471501
5,74483260,JAX00586009,JAX00586009
5,74484182,UNC9471940,UNC9471940
5,74524459,UNC9472350,UNC9472350
5,74583575,JAX00131700,JAX00131700
5,74613757,UNC9473272,UNC9473272
5,74646179,UNC9473863,UNC9473863
5,74682477,UNC9474455,UNC9474455
5,74730464,UNC9475243,UNC9475243
5,74764686,UNC9476029,UNC9476029
5,74804638,UNC9476541,UNC9476541
5,74861710,UNC9477370,UNC9477370
5,74936388,UNC9478677,UNC9478677
5,74958925,JAX00586183,JAX00586183
5,74964123,UNC9479128,UNC9479128
5,75008896,UNC9479562,UNC9479562
5,75042741,UNC9479721,UNC9479721
5,75082339,UNC9480114,UNC9480114
5,75128324,UNC9480810,UNC9480810
5,75174058,UNC9481281,UNC9481281
5,7518518,UNC8594535,UNC8594535
5,75212855,UNC9481948,UNC9481948
5,75237525,UNC9482384,UNC9482384
5,75241137,JAX00586240,JAX00586240
5,75250020,JAX00586244,JAX00586244
5,75320137,UNC9483577,UNC9483577
5,75376677,UNC9484399,UNC9484399
5,75399882,UNC9484825,UNC9484825
5,75434308,UNC9485368,UNC9485368
5,75473057,UNC9485914,UNC9485914
5,75517829,UNC9486814,UNC9486814
5,75530240,JAX00586319,JAX00586319
5,75551883,UNC9487497,UNC9487497
5,75594172,JAX00586338,JAX00586338
5,75599420,UNC9488364,UNC9488364
5,75634891,UNC9488819,UNC9488819
5,75670285,JAX00586358,JAX00586358;JAX00586358r
5,75674237,,JAX00586361;JAX00586361q
5,75676743,UNC9489306,UNC9489306
5,75709740,UNC9489781,UNC9489781
5,75731642,JAX00586389,JAX00586389
5,75790339,UNC9491013,UNC9491013;UNCHS014787
5,75799434,JAX00586407,JAX00586407
5,75817702,JAX00586413,JAX00586413
5,75847690,UNC9491823,UNC9491823
5,75858714,JAX00586424,JAX00586424
5,75861714,UNC9492107,UNC9492107
5,75916748,UNC9493140,UNC9493140
5,75939853,UNC9493489,UNC9493489
5,75943660,JAX00586464,JAX00586464
5,75964878,UNC9493838,UNC9493838
5,75965831,JAX00586467,JAX00586467
5,75979699,UNC9493987,UNC9493987
5,75995530,UNC9494174,UNC9494174
5,76004004,JAX00586470,JAX00586470
5,76011385,UNC9494376,UNC9494376
5,76025742,UNC9494581,UNC9494581
5,76043209,UNC9494836,UNC9494836
5,76058696,UNC9495044,UNC9495044
5,76074821,UNC9495228,UNC9495228
5,76105355,UNC9495402,UNC9495402
5,76125084,JAX00586493,JAX00586493
5,76127144,UNC9495776,UNC9495776
5,76135563,JAX00586495,JAX00586495
5,76138238,UNC9495949,UNC9495949
5,76151089,UNC9496199,UNC9496199
5,76166332,UNC9496552,UNC9496552
5,76183750,UNC9496822,UNC9496822
5,76212467,UNC9497189,UNC9497189
5,76226154,UNC9497234,UNC9497234
5,76244505,JAX00586516,JAX00586516
5,76248877,UNC9497367,UNC9497367
5,76267134,UNC9497477,UNC9497477
5,76281012,UNC9497538,UNC9497538
5,76295106,UNC9497665,UNC9497665
5,76311980,UNC9497824,UNC9497824
5,76332757,UNC9498028,UNC9498028
5,76358085,UNC9498414,UNC9498414
5,76372155,JAX00586526,JAX00586526
5,76372870,UNC9498607,UNC9498607
5,76387314,UNC9498879,UNC9498879
5,76396587,JAX00226857,JAX00226857
5,76399892,UNC9499099,UNC9499099
5,76429468,UNC9499552,UNC9499552
5,76441897,UNC9499812,UNC9499812
5,76453135,UNC9500012,UNC9500012
5,7646688,UNC8596224,UNC8596224
5,76468632,UNC9500317,UNC9500317
5,76481844,UNC9500548,UNC9500548
5,76503270,UNC9500814,UNC9500814
5,76520362,UNC9500948,UNC9500948
5,76537956,UNC9501205,UNC9501205
5,76549412,UNC9501393,UNC9501393
5,76562715,UNC9501584,UNC9501584
5,76578679,backupUNC050387002,backupUNC050387002
5,76604354,UNC9502366,UNC9502366
5,76612108,JAX00131854,JAX00131854
5,76612207,UNC9502423,UNC9502423
5,76630835,UNC9502729,UNC9502729
5,76647489,UNC9502886,UNC9502886
5,76659927,UNC9503113,UNC9503113
5,76693173,JAX00586573,JAX00586573
5,76783431,JAX00131867,JAX00131867
5,76823522,UNC9505890,UNC9505890
5,76960449,UNC9507833,UNC9507833
5,77046762,UNC9508814,UNC9508814
5,77057707,JAX00586620,JAX00586620;JAX00586620r
5,77127866,UNC9510172,UNC9510172
5,7716954,JAX00573143,JAX00573143;JAX00573143r
5,77218945,JAX00586674,JAX00586674
5,77268535,UNC9512631,UNC9512631
5,77328659,UNC9513441,UNC9513441
5,7743417,UNC8598054,UNC8598054
5,77450516,UNC9515339,UNC9515339
5,77479113,,ICR5627;UNCHS014842
5,77551839,UNC9516835,UNC9516835
5,77640826,UNC9517731,UNC9517731
5,77727234,UNC9518763,UNC9518763
5,77814509,UNC9519727,UNC9519727
5,77887399,UNC9520633,UNC9520633
5,78028224,UNC9522361,UNC9522361
5,78063588,JAX00131963,JAX00131963
5,78128195,UNC9523897,UNC9523897
5,78220474,,JAX00131974;JAX00131974q
5,78228204,UNC9524989,UNC9524989
5,78313233,UNC9526264,UNC9526264
5,78403690,JAX00586814,JAX00586814
5,78404061,UNC9527662,UNC9527662
5,78531267,UNC9529275,UNC9529275
5,78626026,UNC9530593,UNC9530593
5,7863402,UNC8599448,UNC8599448
5,78722290,UNC9531776,UNC9531776
5,78828821,UNC9533394,UNC9533394
5,78921020,UNC9534529,UNC9534529
5,78975264,JAX00586875,JAX00586875
5,78976967,UNC9535413,UNC9535413
5,79123878,UNC9537526,UNC9537526
5,79242109,UNC9538935,UNC9538935
5,79329116,UNC9540115,UNC9540115
5,79358672,JAX00226924,JAX00226924
5,79446611,UNC9541285,UNC9541285
5,79572048,UNC9542764,UNC9542764;UNCHS014862
5,79660345,UNC9544099,UNC9544099
5,79724827,UNC9545074,UNC9545074
5,7979436,UNC8600836,UNC8600836
5,79826165,UNC9546072,UNC9546072
5,79896315,UNC9547169,UNC9547169
5,79967840,JAX00586987,JAX00586987
5,79983015,JAX00132106,JAX00132106
5,80035155,backupUNC050124403,backupUNC050124403
5,80162358,JAX00587024,JAX00587024
5,80164539,UNC9550582,UNC9550582
5,80223681,UNC9551370,UNC9551370
5,80327249,UNC9552680,UNC9552680
5,80427314,UNC9553932,UNC9553932
5,80458736,JAX00587071,JAX00587071
5,80514056,UNC9555053,UNC9555053
5,80614821,UNC9556894,UNC9556894
5,80634855,JAX00132156,JAX00132156
5,80818096,UNC9559995,UNC9559995
5,80915281,JAX00132177,JAX00132177
5,80919493,UNC9561380,UNC9561380
5,81125372,UNC9564390,UNC9564390
5,81212280,JAX00587194,JAX00587194;JAX00587194r
5,81256634,B6_rs33067522,B6_rs33067522
5,81330273,UNC9566561,UNC9566561
5,8135627,UNC8603212,UNC8603212
5,81421077,UNC9567346,UNC9567346
5,81480553,,JAX00587242;JAX00587242q
5,8161735,UNC8603628,UNC8603628
5,81644790,UNC9570078,UNC9570078
5,81718373,UNC9570943,UNC9570943
5,81820389,UNC9572242,UNC9572242
5,8184679,,ICR2052;ICR5559
5,81920616,UNC9573373,UNC9573373
5,82046640,UNC9574797,UNC9574797
5,82133874,UNC9575602,UNC9575602
5,82211210,UNC9576560,UNC9576560
5,82345423,JAX00132285,JAX00132285
5,82403645,UNC9579331,UNC9579331
5,82442367,JAX00132291,JAX00132291
5,82576751,UNC9582123,UNC9582123
5,82733828,UNC9583746,UNC9583746
5,82818050,UNC9585531,UNC9585531
5,82900680,JAX00132327,JAX00132327
5,82919627,UNC9586785,UNC9586785
5,83019461,JAX00132335,JAX00132335
5,83037809,UNC9588089,UNC9588089
5,83229666,UNC9590377,UNC9590377
5,83351097,UNC9592111,UNC9592111
5,83352568,JAX00587503,JAX00587503
5,8346315,UNC8605220,UNC8605220
5,83475065,UNC9593443,UNC9593443
5,83575230,,JAX00587519;JAX00587519q
5,83617376,UNC9594903,UNC9594903
5,83897919,UNC9597931,UNC9597931
5,84022029,UNC9598992,UNC9598992
5,84083654,UNC9599643,UNC9599643
5,8422063,UNC8606323,UNC8606323
5,84315629,UNC9601838,UNC9601838
5,84346047,JAX00132434,JAX00132434
5,84442167,UNC9602650,UNC9602650
5,84456854,JAX00587603,JAX00587603
5,84536655,UNC9603711,UNC9603711
5,84620972,UNC9604691,UNC9604691
5,84675645,UNC9605211,UNC9605211
5,84814465,UNC9606524,UNC9606524
5,84897605,JAX00587640,JAX00587640
5,84904877,JAX00132476,JAX00132476
5,84914254,UNC9607291,UNC9607291
5,84983164,JAX00132481,JAX00132481
5,85011102,UNC9608345,UNC9608345
5,85035118,JAX00132486,JAX00132486
5,85113801,UNC9609057,UNC9609057
5,85178429,UNC9609554,UNC9609554
5,85446780,UNC9612163,UNC9612163
5,85607972,UNC9613120,UNC9613120;UNCHS014917
5,85704313,UNC9613883,UNC9613883
5,85782374,JAX00587718,JAX00587718
5,8584078,UNC8608013,UNC8608013
5,85980592,UNC9616485,UNC9616485
5,86058945,JAX00587750,JAX00587750
5,86112809,UNC9617590,UNC9617590
5,86335700,JAX00132583,JAX00132583
5,86356529,UNC9620415,UNC9620415
5,86426861,UNC9621161,UNC9621161
5,86479173,UNC9621775,UNC9621775
5,86625904,UNC9623418,UNC9623418
5,86715301,UNC9624513,UNC9624513
5,86810399,UNC9625924,UNC9625924
5,8688972,UNC8608860,UNC8608860
5,86924126,UNC9626955,UNC9626955
5,87009585,UNC9627759,UNC9627759
5,87092080,UNC9628356,UNC9628356
5,87148311,JAX00587900,JAX00587900
5,87196028,UNC9629098,UNC9629098
5,87276209,UNC9629533,UNC9629533
5,87401492,UNC9630440,UNC9630440
5,87473624,UNC9631194,UNC9631194
5,87564230,,JAX00587946;JAX00587946q
5,87606213,UNC9632622,UNC9632622
5,87711074,UNC9633914,UNC9633914
5,87856187,UNC9635477,UNC9635477
5,87869920,UNC9635760,UNC9635760
5,87930092,JAX00587987,JAX00587987
5,8795517,UNC8609831,UNC8609831
5,88034505,UNC9638141,UNC9638141
5,88105955,UNC9639064,UNC9639064
5,88168117,UNC9639535,UNC9639535
5,88276959,UNC9640562,UNC9640562
5,88379256,JAX00132736,JAX00132736
5,88397365,UNC9642186,UNC9642186
5,88488343,UNC9643125,UNC9643125
5,88699913,UNC9645465,UNC9645465
5,88831361,JAX00588085,JAX00588085
5,88851830,UNC9647216,UNC9647216
5,88935584,UNC9648069,UNC9648069
5,89088429,UNC9649713,UNC9649713;UNCHS014969
5,89174565,JAX00588159,JAX00588159
5,89216047,UNC9651614,UNC9651614
5,89271411,JAX00132804,JAX00132804
5,89272245,JAX00588181,JAX00588181
5,89279498,UNC9652595,UNC9652595
5,89438234,UNC9654834,UNC9654834
5,89521130,UNC9656205,UNC9656205
5,89598935,UNC9657679,UNC9657679
5,89725020,UNC9659673,UNC9659673
5,89928862,UNC9662778,UNC9662778
5,89978351,UNC9663381,UNC9663381
5,89982890,UNC9663462,UNC9663462
5,90028597,UNC9663875,UNC9663875
5,90059600,UNC9664254,UNC9664254
5,90089498,UNC9664735,UNC9664735
5,90119686,UNC9665157,UNC9665157
5,90144079,UNC9665574,UNC9665574
5,90183680,UNC9666038,UNC9666038
5,90215850,UNC9666552,UNC9666552
5,90247736,UNC9666802,UNC9666802
5,90277972,UNC9667086,UNC9667086
5,90307060,UNC9667278,UNC9667278
5,90351910,JAX00588367,JAX00588367
5,90371405,UNC9667645,UNC9667645
5,90402051,UNC9667976,UNC9667976
5,9040796,UNC8613413,UNC8613413
5,90424879,JAX00132890,JAX00132890
5,90433795,UNC9668440,UNC9668440
5,90467710,UNC9668756,UNC9668756
5,90480649,UNC9668854,UNC9668854
5,90523517,UNC9669480,UNC9669480
5,90563781,UNC9669840,UNC9669840
5,90575386,JAX00588398,JAX00588398
5,90589346,UNC9670233,UNC9670233
5,90599978,JAX00588400,JAX00588400
5,90609967,UNC9670659,UNC9670659
5,90641309,UNC9671224,UNC9671224
5,90660929,JAX00227173,JAX00227173
5,90682921,UNC9671912,UNC9671912
5,90715543,UNC9672501,UNC9672501
5,90742074,JAX00588438,JAX00588438
5,90745053,UNC9672954,UNC9672954
5,90763645,JAX00588443,JAX00588443
5,90776807,UNC9673509,UNC9673509
5,90806254,UNC9673765,UNC9673765
5,90837712,UNC9674024,UNC9674024
5,90878373,UNC9674612,UNC9674612
5,90890792,UNC9674833,UNC9674833
5,90932330,UNC9675316,UNC9675316
5,90960937,UNC9675799,UNC9675799
5,90991559,UNC9676304,UNC9676304
5,91026594,UNC9676739,UNC9676739
5,91053718,UNC9677243,UNC9677243
5,91089268,UNC9677717,UNC9677717
5,91102243,JAX00132940,JAX00132940
5,9112587,UNC8614186,UNC8614186
5,91151027,UNC9678554,UNC9678554
5,91180078,UNC9678931,UNC9678931
5,91211937,UNC9679314,UNC9679314
5,91218218,JAX00588533,JAX00588533;JAX00588533r
5,91241686,UNC9679601,UNC9679601
5,91272048,JAX00588538,JAX00588538
5,91274708,UNC9680010,UNC9680010
5,91337665,UNC9681285,UNC9681285
5,91367942,UNC9681847,UNC9681847
5,91390597,UNC9682089,UNC9682089
5,91425457,UNC9682518,UNC9682518
5,91463770,UNC9683347,UNC9683347
5,91493484,UNC9683834,UNC9683834
5,91504102,JAX00132972,JAX00132972
5,91521606,UNC9684271,UNC9684271
5,91566171,UNC9684937,UNC9684937
5,91588216,UNC9685179,UNC9685179
5,91617849,UNC9685612,UNC9685612;UNCHS015036
5,91624062,JAX00588619,JAX00588619
5,91648858,UNC9685994,UNC9685994
5,91679945,UNC9686441,UNC9686441
5,91713968,UNC9686850,UNC9686850
5,91734097,UNC9687135,UNC9687135
5,91804554,UNC9688519,UNC9688519
5,91831949,UNC9688890,UNC9688890
5,91867396,UNC9689397,UNC9689397
5,91906520,UNC9689811,UNC9689811
5,91924566,UNC9690009,UNC9690009
5,91952017,UNC9690380,UNC9690380
5,91993628,UNC9690992,UNC9690992
5,92022916,UNC9691273,UNC9691273
5,92058773,UNC9691592,UNC9691592;UNCHS015062
5,92075407,JAX00588704,JAX00588704
5,92084895,UNC9691765,UNC9691765
5,92118680,UNC9692214,UNC9692214
5,92134817,UNC9692479,UNC9692479
5,92177835,UNC9692814,UNC9692814
5,92274301,UNC9694016,UNC9694016
5,92329436,UNC9695003,UNC9695003
5,92365529,UNC9695589,UNC9695589
5,92383717,JAX00588759,JAX00588759
5,92394028,UNC9695930,UNC9695930
5,92435411,UNC9696430,UNC9696430
5,92438887,JAX00133041,JAX00133041
5,92458228,UNC9696768,UNC9696768
5,92486018,UNC9697154,UNC9697154
5,92522790,UNC9697569,UNC9697569
5,92539399,JAX00133049,JAX00133049
5,92560413,UNC9698259,UNC9698259
5,92584930,UNC9698821,UNC9698821
5,92613152,UNC9699181,UNC9699181
5,92645966,UNC9699563,UNC9699563
5,92676034,UNC9700034,UNC9700034
5,92708131,UNC9700440,UNC9700440
5,92743909,UNC9700993,UNC9700993
5,92763777,UNC9701370,UNC9701370
5,92835317,UNC9702636,UNC9702636
5,92838767,JAX00588844,JAX00588844
5,92863776,UNC9703079,UNC9703079
5,92892935,UNC9703637,UNC9703637
5,92919537,UNC9704070,UNC9704070
5,92957062,UNC9704566,UNC9704566
5,93002780,UNC9705416,UNC9705416
5,93015057,UNC9705699,UNC9705699
5,93025229,JAX00588889,JAX00588889
5,93035191,UNC9706081,UNC9706081
5,93050760,JAX00588898,JAX00588898
5,93081854,UNC9706592,UNC9706592
5,93113370,UNC9706994,UNC9706994
5,93139114,UNC9707353,UNC9707353
5,93163082,UNC9707711,UNC9707711
5,93200153,UNC9708065,UNC9708065
5,93240680,JAX00133101,JAX00133101
5,93244948,UNC9708666,UNC9708666
5,9326073,UNC8616855,UNC8616855
5,93281999,UNC9709136,UNC9709136
5,93285373,JAX00588959,JAX00588959
5,93357232,UNC9709830,UNC9709830
5,9339039,UNC8616959,UNC8616959
5,93451296,UNC9710408,UNC9710408
5,93694870,UNC9710582,UNC9710582
5,93741238,UNC9710718,UNC9710718
5,9483344,JAX00573630,JAX00573630
5,9508155,UNC8619742,UNC8619742
5,9511851,JAX00573642,JAX00573642
5,9533855,JAX00573653,JAX00573653
5,95872596,JAX00133145,JAX00133145
5,95952141,UNC9712371,UNC9712371
5,96064690,UNC9713327,UNC9713327
5,96100426,JAX00189698,JAX00189698
5,96235833,UNC9714592,UNC9714592
5,9633408,UNC8621063,UNC8621063
5,96410103,JAX00589089,JAX00589089
5,96521569,UNC9718843,UNC9718843
5,96521922,,JAX00133195;JAX00133195q
5,96560960,UNC9719494,UNC9719494
5,96574944,UNC9719635,UNC9719635
5,96576251,JAX00589117,JAX00589117
5,96611113,UNC9720254,UNC9720254
5,96624029,UNC9720485,UNC9720485
5,96638336,UNC9720839,UNC9720839
5,96642833,JAX00589131,JAX00589131
5,96684306,UNC9721725,UNC9721725
5,96699568,JAX00589155,JAX00589155
5,96709477,UNC9722206,UNC9722206
5,96734358,UNC9722635,UNC9722635
5,96740873,JAX00589173,JAX00589173
5,96745761,UNC9722868,UNC9722868
5,96761632,UNC9723227,UNC9723227
5,96781824,UNC9723684,UNC9723684
5,96792934,UNC9723871,UNC9723871
5,96808035,UNC9724092,UNC9724092
5,96816275,UNC9724222,UNC9724222
5,96832828,UNC9724616,UNC9724616
5,96851831,UNC9725031,UNC9725031
5,96870232,UNC9725355,UNC9725355
5,96872790,JAX00589191,JAX00589191
5,96883417,UNC9725667,UNC9725667
5,96899875,UNC9726016,UNC9726016
5,96920675,UNC9726324,UNC9726324
5,96931547,UNC9726489,UNC9726489
5,96944667,UNC9726629,UNC9726629
5,96976926,UNC9727065,UNC9727065
5,96990068,UNC9727305,UNC9727305
5,97003780,UNC9727449,UNC9727449
5,97022007,UNC9727718,UNC9727718
5,97029388,JAX00589210,JAX00589210
5,97037231,UNC9727924,UNC9727924
5,97052237,UNC9728142,UNC9728142
5,97068251,UNC9728319,UNC9728319
5,97104599,UNC9728776,UNC9728776
5,97210870,UNC9730386,UNC9730386
5,97313959,UNC9732221,UNC9732221
5,97326900,JAX00133254,JAX00133254
5,97359012,JAX00589265,JAX00589265
5,97362145,UNC9732916,UNC9732916
5,97429803,JAX00589275,JAX00589275
5,97433069,UNC9733784,UNC9733784
5,9745261,UNC8622491,UNC8622491
5,9746133,JAX00573700,JAX00573700
5,97465950,UNC9734022,UNC9734022
5,97498703,JAX00133267,JAX00133267
5,97503855,UNC9734431,UNC9734431
5,97577842,UNC9735191,UNC9735191
5,97598254,JAX00589311,JAX00589311
5,97629592,UNC9735825,UNC9735825
5,97681504,UNC9736667,UNC9736667
5,97735081,UNC9737109,UNC9737109
5,97763911,JAX00589349,JAX00589349
5,97772694,UNC9737458,UNC9737458
5,97843261,UNC9738464,UNC9738464
5,97961720,UNC9739957,UNC9739957
5,98018933,UNC9740755,UNC9740755
5,98074151,JAX00227297,JAX00227297
5,98089936,UNC9741584,UNC9741584
5,98157498,UNC9742547,UNC9742547
5,98235193,UNC9743510,UNC9743510
5,98286721,UNC9744266,UNC9744266
5,98371820,UNC9745559,UNC9745559
5,98402086,UNC9745838,UNC9745838
5,98547523,UNC9748116,UNC9748116
5,98586182,UNC9748843,UNC9748843
5,98618314,UNC9749377,UNC9749377
5,98690436,UNC9750264,UNC9750264
5,9869545,UNC8624554,UNC8624554
5,98744098,UNC9751124,UNC9751124
5,98786786,UNC9751788,UNC9751788
5,98788983,JAX00589522,JAX00589522
5,98822305,UNC9752200,UNC9752200
5,98932417,JAX00589547,JAX00589547
5,98943967,UNC9754128,UNC9754128
5,98994749,JAX00589558,JAX00589558;JAX00589558r
5,99006864,UNC9755193,UNC9755193
5,99064423,UNC9756093,UNC9756093
5,99092522,UNC9756558,UNC9756558
5,99165888,,JAX00589578;JAX00589578q
5,99218320,UNC9758684,UNC9758684
5,99267893,UNC9759418,UNC9759418
5,99299507,JAX00133402,JAX00133402
5,99326584,UNC9760274,UNC9760274
5,99387144,UNC9761119,UNC9761119
5,99423453,JAX00589606,JAX00589606
5,99482574,UNC9762605,UNC9762605
5,9952082,UNC8625701,UNC8625701
5,99532068,JAX00133421,JAX00133421
5,99534811,JAX00589625,JAX00589625
5,99554417,UNC9763699,UNC9763699
5,99588432,UNC9764319,UNC9764319
5,99637688,UNC9765110,UNC9765110
5,99642152,JAX00589634,JAX00589634
5,99689235,JAX00589644,JAX00589644;UNCHS015157
5,99690820,UNC9766034,UNC9766034
5,99745481,UNC9766871,UNC9766871
5,99796585,UNC9767715,UNC9767715
5,99877763,UNC9768856,UNC9768856
5,99892754,UNC9769129,UNC9769129
6,100003896,UNC11696159,UNC11696159
6,100023395,UNC11696425,UNC11696425
6,100052440,UNC11697012,UNC11697012
6,100091899,UNC11697764,UNC11697764
6,100132552,JAX00144543,JAX00144543
6,100135016,UNC11698599,UNC11698599
6,100179519,UNC11699195,UNC11699195
6,100199471,UNC11699511,UNC11699511
6,100222412,UNC11699864,UNC11699864
6,100258796,UNC11700207,UNC11700207
6,100300217,UNC11700619,UNC11700619
6,100339372,JAX00619524,JAX00619524
6,100372423,UNC11701754,UNC11701754
6,10041530,UNC10549570,UNC10549570
6,100421354,JAX00619559,JAX00619559
